#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.1040225	0.994349523	-0.0211741687	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.955544465	-0.29475934	-0.00719079655	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.143208829	0.103742556	0.984240171	0_1	 + 1	PD[];
0.676153954	0.290984769	-0.676863128	0_1	 + 1	PD[];
0.549340998	-0.835591857	-0.0032735616	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.296659998	0.405268947	-0.864725347	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.667887795	0.70902659	0.226290053	0_1	 + 1	PD[];
0.577186342	0.403323316	0.710060723	0_1	 + 1	PD[];
-0.513235641	0.469678732	0.718325181	0_1	 + 1	PD[];
0.292064419	-0.229825657	-0.928374139	0_1	 + 1	PD[];
0.0437779881	0.747143497	-0.663219484	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.846417596	-0.208895761	-0.489836518	0_1	 + 1	PD[];
-0.606799892	0.461975938	0.646816917	0_1	 + 1	PD[];
-0.865780257	-0.489239717	0.105209532	0_1	 + 1	PD[];
-0.686564577	0.055864455	-0.724919475	0_1	 + 1	PD[];
0.516433029	-0.841408993	0.159147205	0_1	 + 1	PD[];
0.710922142	0.457507958	-0.534112513	0_1	 + 1	PD[];
-0.954968137	0.29527023	0.0291778636	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.336578711	-0.0780526209	0.938414919	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[5,2,6,1],X[2,7,3,6],X[4,7,5,8]];
-0.359683653	0.621007025	-0.696403579	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
